filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
BFl-ord-A3-ff.wav,BFl,ord,A3,ff,57,1020.9,,,945.4,1076.7,1022.8,1184.3
BFl-ord-A3-mf.wav,BFl,ord,A3,mf,57,933.6,,,941.9,1119.7,1001.3,226.1
BFl-ord-A3-pp.wav,BFl,ord,A3,pp,57,213.3,,,1059.6,2497.9,925.9,1141.3
BFl-ord-A4-ff.wav,BFl,ord,A4,ff,69,1363.6,,,1199.6,1098.2,1205.9,1313.5
BFl-ord-A4-mf.wav,BFl,ord,A4,mf,69,932.5,,,1087.4,1065.9,1098.2,1259.7
BFl-ord-A4-pp.wav,BFl,ord,A4,pp,69,594.4,2954.6,,1055.3,1195.1,1216.6,839.8
BFl-ord-A5-ff.wav,BFl,ord,A5,ff,81,908.9,3853.1,,939.5,829.0,882.9,893.6
BFl-ord-A5-mf.wav,BFl,ord,A5,mf,81,906.6,3025.7,,919.2,786.0,872.1,882.9
BFl-ord-A5-pp.wav,BFl,ord,A5,pp,81,1944.1,,,1006.5,3466.8,3660.6,1248.9
BFl-ord-C3-ff.wav,BFl,ord,C3,ff,48,651.6,3918.0,,876.4,602.9,463.0,387.6
BFl-ord-C3-mf.wav,BFl,ord,C3,mf,48,501.9,3993.2,,895.5,2271.8,2282.5,775.2
BFl-ord-C3-pp.wav,BFl,ord,C3,pp,48,,,,1033.5,3606.8,3003.9,3025.4
BFl-ord-C4-ff.wav,BFl,ord,C4,ff,60,948.3,3806.0,,1009.1,753.7,344.5,290.7
BFl-ord-C4-mf.wav,BFl,ord,C4,mf,60,652.2,,,995.7,516.8,344.5,279.9
BFl-ord-C4-pp.wav,BFl,ord,C4,pp,60,268.5,,,937.9,2422.5,915.2,269.2
BFl-ord-C5-ff.wav,BFl,ord,C5,ff,72,694.1,2635.5,,1221.4,829.0,366.1,527.6
BFl-ord-C5-mf.wav,BFl,ord,C5,mf,72,668.9,3341.9,3480.3,1157.3,732.1,398.4,538.3
BFl-ord-C5-pp.wav,BFl,ord,C5,pp,72,625.2,,,1111.5,2519.4,2078.0,538.3
BFl-ord-C6-ff.wav,BFl,ord,C6,ff,84,1149.5,2862.7,,1100.7,882.9,1033.6,1109.0
BFl-ord-C6-mf.wav,BFl,ord,C6,mf,84,1170.0,3344.6,,1077.5,850.6,1001.3,1109.0
BFl-ord-C6-pp.wav,BFl,ord,C6,pp,84,3108.9,,,1076.6,3520.7,678.3,602.9
BFl-ord-D#3-ff.wav,BFl,ord,D#3,ff,51,733.9,,,852.1,678.3,635.2,516.8
BFl-ord-D#3-mf.wav,BFl,ord,D#3,mf,51,865.1,,,872.4,,656.8,495.3
BFl-ord-D#3-pp.wav,BFl,ord,D#3,pp,51,,,,963.4,2540.9,624.5,473.7
BFl-ord-D#4-ff.wav,BFl,ord,D#4,ff,63,776.7,1254.2,3554.8,829.6,732.1,786.0,613.7
BFl-ord-D#4-mf.wav,BFl,ord,D#4,mf,63,894.7,3756.1,,857.2,710.6,366.1,301.5
BFl-ord-D#4-pp.wav,BFl,ord,D#4,pp,63,904.2,,,856.7,3509.9,861.3,925.9
BFl-ord-D#5-ff.wav,BFl,ord,D#5,ff,75,1557.1,2323.2,,1000.4,861.3,1216.6,592.2
BFl-ord-D#5-mf.wav,BFl,ord,D#5,mf,75,792.8,2017.3,,791.5,721.4,592.2,602.9
BFl-ord-D#5-pp.wav,BFl,ord,D#5,pp,75,2848.1,3807.5,,1063.0,3606.8,3186.9,3003.9
BFl-ord-F#3-ff.wav,BFl,ord,F#3,ff,54,660.5,1318.6,,1109.4,,678.3,193.8
BFl-ord-F#3-mf.wav,BFl,ord,F#3,mf,54,756.1,,,988.1,2357.9,882.9,183.0
BFl-ord-F#3-pp.wav,BFl,ord,F#3,pp,54,195.2,,,973.5,2476.3,742.9,570.6
BFl-ord-F#4-ff.wav,BFl,ord,F#4,ff,66,1466.0,,,1126.8,839.8,990.5,344.5
BFl-ord-F#4-mf.wav,BFl,ord,F#4,mf,66,1144.0,,,1074.0,796.7,366.1,312.2
BFl-ord-F#4-pp.wav,BFl,ord,F#4,pp,66,599.6,2979.2,,1006.4,2648.6,2293.3,3025.4
BFl-ord-F#5-ff.wav,BFl,ord,F#5,ff,78,870.0,2512.9,,910.7,872.1,839.8,742.9
BFl-ord-F#5-mf.wav,BFl,ord,F#5,mf,78,913.9,2674.9,,944.7,936.7,818.3,732.1
BFl-ord-F#5-pp.wav,BFl,ord,F#5,pp,78,866.2,3723.4,,972.6,3391.5,3499.1,732.1
