filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
CbTb-ord-D#2-mf.wav,CbTb,ord,D#2,mf,39,525.7,616.4,,835.2,506.0,366.1,226.1
CbTb-ord-D#2-p.wav,CbTb,ord,D#2,p,39,365.9,974.7,,822.3,333.8,333.8,226.1
CbTb-ord-D#3-f.wav,CbTb,ord,D#3,f,51,644.6,3931.1,,786.4,602.9,409.1,193.8
CbTb-ord-D#3-mf.wav,CbTb,ord,D#3,mf,51,428.2,730.7,,771.4,581.4,398.4,215.3
CbTb-ord-D#3-p.wav,CbTb,ord,D#3,p,51,501.5,,,761.4,602.9,409.1,473.7
CbTb-ord-D1-f.wav,CbTb,ord,D1,f,26,457.5,1572.3,,914.3,452.2,366.1,236.9
CbTb-ord-D1-mf.wav,CbTb,ord,D1,mf,26,369.5,1200.6,,878.6,129.2,355.3,226.1
CbTb-ord-D1-p.wav,CbTb,ord,D1,p,26,358.6,957.0,,836.0,226.1,344.5,226.1
CbTb-ord-D2-f.wav,CbTb,ord,D2,f,38,591.4,1608.6,,930.5,613.7,376.8,236.9
CbTb-ord-D2-mf.wav,CbTb,ord,D2,mf,38,433.3,869.7,,847.2,527.6,366.1,226.1
CbTb-ord-D2-p.wav,CbTb,ord,D2,p,38,304.7,1359.0,,880.6,1733.4,323.0,215.3
CbTb-ord-D3-f.wav,CbTb,ord,D3,f,50,560.4,3422.4,,855.5,592.2,387.6,215.3
CbTb-ord-D3-mf.wav,CbTb,ord,D3,mf,50,136.9,507.2,,863.8,570.6,387.6,215.3
CbTb-ord-D3-p.wav,CbTb,ord,D3,p,50,306.0,778.4,,842.8,516.8,366.1,215.3
CbTb-ord-E0-ff.wav,CbTb,ord,E0,ff,16,319.5,,,874.1,3348.4,3509.9,247.6
CbTb-ord-E0-mf.wav,CbTb,ord,E0,mf,16,243.7,,,840.0,3359.2,3413.0,1076.7
CbTb-ord-E0-pp.wav,CbTb,ord,E0,pp,16,288.8,,,882.8,,3337.6,1141.3
CbTb-ord-E1-f.wav,CbTb,ord,E1,f,28,423.9,1240.9,,867.1,419.9,355.3,226.1
CbTb-ord-E1-ff.wav,CbTb,ord,E1,ff,28,377.6,1183.2,,871.4,,344.5,258.4
CbTb-ord-E1-mf.wav,CbTb,ord,E1,mf,28,465.0,1180.7,,875.8,549.1,366.1,236.9
CbTb-ord-E1-p.wav,CbTb,ord,E1,p,28,340.7,1274.4,,958.2,,323.0,204.6
CbTb-ord-E1-pp.wav,CbTb,ord,E1,pp,28,262.8,,,851.8,2573.2,226.1,193.8
CbTb-ord-E2-f.wav,CbTb,ord,E2,f,40,375.5,1059.9,,883.7,473.7,355.3,215.3
CbTb-ord-E2-ff.wav,CbTb,ord,E2,ff,40,360.8,1426.0,,958.0,,355.3,247.6
CbTb-ord-E2-mf.wav,CbTb,ord,E2,mf,40,218.0,691.1,,860.0,538.3,366.1,226.1
CbTb-ord-E2-p.wav,CbTb,ord,E2,p,40,336.9,843.9,,835.4,247.6,323.0,215.3
CbTb-ord-E2-pp.wav,CbTb,ord,E2,pp,40,238.4,,,874.1,3725.2,193.8,172.3
CbTb-ord-E3-f.wav,CbTb,ord,E3,f,52,611.3,,,816.6,592.2,376.8,215.3
CbTb-ord-E3-ff.wav,CbTb,ord,E3,ff,52,380.0,1534.2,,911.5,538.3,366.1,247.6
CbTb-ord-E3-mf.wav,CbTb,ord,E3,mf,52,401.0,,,801.9,570.6,387.6,215.3
CbTb-ord-E3-p.wav,CbTb,ord,E3,p,52,390.9,,,826.9,516.8,376.8,215.3
CbTb-ord-E3-pp.wav,CbTb,ord,E3,pp,52,265.3,,,799.7,,301.5,193.8
CbTb-ord-E4-ff.wav,CbTb,ord,E4,ff,64,347.2,1624.1,,877.4,581.4,387.6,333.8
CbTb-ord-E4-mf.wav,CbTb,ord,E4,mf,64,336.8,,,734.8,355.3,366.1,323.0
CbTb-ord-E4-pp.wav,CbTb,ord,E4,pp,64,316.6,,,713.0,2831.6,333.8,323.0
CbTb-ord-F#1-f.wav,CbTb,ord,F#1,f,30,669.5,1510.1,,860.7,538.3,376.8,193.8
CbTb-ord-F#1-mf.wav,CbTb,ord,F#1,mf,30,550.0,868.1,,853.0,592.2,376.8,215.3
CbTb-ord-F#1-p.wav,CbTb,ord,F#1,p,30,341.0,964.5,,844.2,312.2,333.8,215.3
CbTb-ord-F#2-f.wav,CbTb,ord,F#2,f,42,383.0,1180.5,,900.2,344.5,333.8,236.9
CbTb-ord-F#2-mf.wav,CbTb,ord,F#2,mf,42,380.1,771.2,,800.7,419.9,355.3,258.4
CbTb-ord-F#2-p.wav,CbTb,ord,F#2,p,42,342.6,427.8,,832.2,183.0,333.8,215.3
CbTb-ord-F#3-f.wav,CbTb,ord,F#3,f,54,439.7,858.7,,878.5,646.0,387.6,226.1
CbTb-ord-F#3-mf.wav,CbTb,ord,F#3,mf,54,412.5,960.8,,872.7,667.5,409.1,452.2
CbTb-ord-F#3-p.wav,CbTb,ord,F#3,p,54,395.1,908.6,,864.6,635.2,409.1,463.0
CbTb-ord-F1-f.wav,CbTb,ord,F1,f,29,419.4,1275.9,,884.8,527.6,376.8,204.6
CbTb-ord-F1-mf.wav,CbTb,ord,F1,mf,29,419.1,1287.3,,900.9,516.8,355.3,226.1
CbTb-ord-F1-p.wav,CbTb,ord,F1,p,29,278.2,1300.7,,971.0,,312.2,204.6
CbTb-ord-F2-f.wav,CbTb,ord,F2,f,41,320.4,971.7,,850.5,516.8,355.3,226.1
CbTb-ord-F2-mf.wav,CbTb,ord,F2,mf,41,447.4,,,762.4,441.4,366.1,226.1
CbTb-ord-F2-p.wav,CbTb,ord,F2,p,41,355.7,938.1,,777.6,409.1,344.5,226.1
CbTb-ord-F3-f.wav,CbTb,ord,F3,f,53,471.4,668.6,,811.9,624.5,398.4,236.9
CbTb-ord-F3-mf.wav,CbTb,ord,F3,mf,53,359.4,737.1,,841.5,592.2,387.6,215.3
CbTb-ord-F3-p.wav,CbTb,ord,F3,p,53,372.4,,,849.2,538.3,376.8,215.3
CbTb-ord-G#1-f.wav,CbTb,ord,G#1,f,32,614.1,1624.9,,904.2,549.1,366.1,204.6
CbTb-ord-G#1-mf.wav,CbTb,ord,G#1,mf,32,523.5,920.2,,872.7,527.6,355.3,226.1
CbTb-ord-G#1-p.wav,CbTb,ord,G#1,p,32,407.5,1137.2,,865.8,376.8,333.8,226.1
CbTb-ord-G#2-f.wav,CbTb,ord,G#2,f,44,480.2,1327.1,,883.6,538.3,376.8,204.6
CbTb-ord-G#2-mf.wav,CbTb,ord,G#2,mf,44,357.4,641.9,,778.4,527.6,376.8,215.3
CbTb-ord-G#2-p.wav,CbTb,ord,G#2,p,44,509.2,,,726.3,398.4,366.1,215.3
CbTb-ord-G#3-f.wav,CbTb,ord,G#3,f,56,489.5,810.4,,776.5,667.5,387.6,226.1
CbTb-ord-G#3-mf.wav,CbTb,ord,G#3,mf,56,365.1,821.5,,775.1,635.2,398.4,226.1
CbTb-ord-G#3-p.wav,CbTb,ord,G#3,p,56,420.7,721.8,,766.1,635.2,409.1,226.1
CbTb-ord-G0-ff.wav,CbTb,ord,G0,ff,19,428.7,1819.5,,963.3,,366.1,279.9
CbTb-ord-G0-mf.wav,CbTb,ord,G0,mf,19,324.6,,,771.6,3746.8,247.6,247.6
CbTb-ord-G0-pp.wav,CbTb,ord,G0,pp,19,318.6,,,819.9,3714.5,236.9,1141.3
CbTb-ord-G1-f.wav,CbTb,ord,G1,f,31,486.4,1404.7,3648.0,957.3,559.9,366.1,226.1
CbTb-ord-G1-ff.wav,CbTb,ord,G1,ff,31,431.7,1137.9,,908.1,344.5,366.1,301.5
CbTb-ord-G1-mf.wav,CbTb,ord,G1,mf,31,457.3,1061.6,,879.3,527.6,355.3,247.6
CbTb-ord-G1-p.wav,CbTb,ord,G1,p,31,649.3,,,816.4,430.7,333.8,215.3
CbTb-ord-G1-pp.wav,CbTb,ord,G1,pp,31,,,,948.6,3682.2,3186.9,1130.5
CbTb-ord-G2-f.wav,CbTb,ord,G2,f,43,526.1,1382.5,,918.8,602.9,376.8,236.9
CbTb-ord-G2-ff.wav,CbTb,ord,G2,ff,43,365.0,1389.4,,958.5,193.8,355.3,236.9
CbTb-ord-G2-mf.wav,CbTb,ord,G2,mf,43,416.9,889.9,,817.2,527.6,376.8,247.6
CbTb-ord-G2-p.wav,CbTb,ord,G2,p,43,374.6,462.3,,803.3,473.7,376.8,258.4
CbTb-ord-G2-pp.wav,CbTb,ord,G2,pp,43,123.1,,,935.0,,3068.5,1109.0
CbTb-ord-G3-f.wav,CbTb,ord,G3,f,55,412.0,1097.6,,901.5,656.8,398.4,452.2
CbTb-ord-G3-ff.wav,CbTb,ord,G3,ff,55,417.7,1824.6,,989.2,516.8,366.1,398.4
CbTb-ord-G3-mf.wav,CbTb,ord,G3,mf,55,435.3,690.1,,833.7,646.0,409.1,463.0
CbTb-ord-G3-p.wav,CbTb,ord,G3,p,55,390.5,617.3,,849.5,613.7,398.4,226.1
CbTb-ord-G3-pp.wav,CbTb,ord,G3,pp,55,352.2,,,815.1,3779.1,312.2,204.6
CbTb-ord-G4-ff.wav,CbTb,ord,G4,ff,67,403.2,1505.5,,1007.7,624.5,398.4,398.4
CbTb-ord-G4-mf.wav,CbTb,ord,G4,mf,67,381.9,,,890.3,333.8,366.1,387.6
CbTb-ord-G4-pp.wav,CbTb,ord,G4,pp,67,416.1,,,946.5,2885.4,344.5,398.4
