filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
CbTb-ord-A#0-f.wav,CbTb,ord,A#0,f,22,686.9,,,824.7,398.4,366.1,204.6
CbTb-ord-A#0-ff.wav,CbTb,ord,A#0,ff,22,411.4,1607.6,,931.5,,355.3,279.9
CbTb-ord-A#0-mf.wav,CbTb,ord,A#0,mf,22,524.1,964.2,,845.2,452.2,376.8,215.3
CbTb-ord-A#0-p.wav,CbTb,ord,A#0,p,22,571.0,,,802.9,333.8,376.8,204.6
CbTb-ord-A#0-pp.wav,CbTb,ord,A#0,pp,22,196.9,,,890.4,3649.9,3736.0,193.8
CbTb-ord-A#1-f.wav,CbTb,ord,A#1,f,34,563.8,954.6,,893.9,506.0,333.8,226.1
CbTb-ord-A#1-ff.wav,CbTb,ord,A#1,ff,34,370.2,1481.0,,994.7,,344.5,301.5
CbTb-ord-A#1-mf.wav,CbTb,ord,A#1,mf,34,473.0,,,805.3,430.7,355.3,236.9
CbTb-ord-A#1-p.wav,CbTb,ord,A#1,p,34,390.1,554.0,,801.1,269.2,344.5,236.9
CbTb-ord-A#1-pp.wav,CbTb,ord,A#1,pp,34,73.1,,,928.1,3606.8,2196.4,2121.0
CbTb-ord-A#2-f.wav,CbTb,ord,A#2,f,46,492.5,2317.8,,859.5,527.6,376.8,204.6
CbTb-ord-A#2-ff.wav,CbTb,ord,A#2,ff,46,369.9,1398.0,,979.6,430.7,366.1,301.5
CbTb-ord-A#2-mf.wav,CbTb,ord,A#2,mf,46,313.9,774.5,,862.5,409.1,366.1,204.6
CbTb-ord-A#2-p.wav,CbTb,ord,A#2,p,46,314.3,619.3,,882.2,344.5,344.5,215.3
CbTb-ord-A#2-pp.wav,CbTb,ord,A#2,pp,46,149.6,,,878.7,3531.4,226.1,161.5
CbTb-ord-A#3-f.wav,CbTb,ord,A#3,f,58,520.8,1028.4,,818.6,678.3,409.1,484.5
CbTb-ord-A#3-ff.wav,CbTb,ord,A#3,ff,58,968.8,2179.3,,1014.3,689.1,387.6,247.6
CbTb-ord-A#3-mf.wav,CbTb,ord,A#3,mf,58,430.9,716.4,,824.2,646.0,398.4,236.9
CbTb-ord-A#3-p.wav,CbTb,ord,A#3,p,58,306.0,391.4,,802.2,602.9,387.6,226.1
CbTb-ord-A#3-pp.wav,CbTb,ord,A#3,pp,58,373.1,,,769.0,3876.0,323.0,215.3
CbTb-ord-A#4-ff.wav,CbTb,ord,A#4,ff,70,482.8,1938.9,,898.2,635.2,473.7,452.2
CbTb-ord-A#4-mf.wav,CbTb,ord,A#4,mf,70,462.0,1761.6,,1017.4,495.3,409.1,452.2
CbTb-ord-A#4-pp.wav,CbTb,ord,A#4,pp,70,474.3,3547.9,,947.7,441.4,463.0,463.0
CbTb-ord-A1-f.wav,CbTb,ord,A1,f,33,489.1,1317.0,,918.4,495.3,344.5,236.9
CbTb-ord-A1-mf.wav,CbTb,ord,A1,mf,33,495.2,702.7,,822.7,495.3,355.3,236.9
CbTb-ord-A1-p.wav,CbTb,ord,A1,p,33,359.6,1310.0,,887.7,,323.0,226.1
CbTb-ord-A2-f.wav,CbTb,ord,A2,f,45,566.7,777.2,,903.0,613.7,376.8,226.1
CbTb-ord-A2-mf.wav,CbTb,ord,A2,mf,45,374.9,737.5,,817.0,495.3,376.8,226.1
CbTb-ord-A2-p.wav,CbTb,ord,A2,p,45,370.1,656.8,,792.7,538.3,387.6,226.1
CbTb-ord-A3-f.wav,CbTb,ord,A3,f,57,422.5,963.9,,841.5,656.8,398.4,226.1
CbTb-ord-A3-mf.wav,CbTb,ord,A3,mf,57,350.9,893.1,,820.7,646.0,398.4,226.1
CbTb-ord-A3-p.wav,CbTb,ord,A3,p,57,302.6,615.9,,809.8,602.9,387.6,215.3
CbTb-ord-B0-f.wav,CbTb,ord,B0,f,23,491.0,1517.2,,893.3,506.0,376.8,204.6
CbTb-ord-B0-mf.wav,CbTb,ord,B0,mf,23,409.6,1219.7,,844.7,344.5,366.1,226.1
CbTb-ord-B0-p.wav,CbTb,ord,B0,p,23,428.8,1195.2,,862.0,419.9,376.8,215.3
CbTb-ord-B1-f.wav,CbTb,ord,B1,f,35,674.6,1334.5,,909.7,473.7,344.5,226.1
CbTb-ord-B1-mf.wav,CbTb,ord,B1,mf,35,509.5,1121.7,,834.3,506.0,376.8,215.3
CbTb-ord-B1-p.wav,CbTb,ord,B1,p,35,518.8,710.3,,804.5,463.0,355.3,215.3
CbTb-ord-B2-f.wav,CbTb,ord,B2,f,47,421.3,942.5,,825.7,549.1,376.8,204.6
CbTb-ord-B2-mf.wav,CbTb,ord,B2,mf,47,321.0,1369.8,,846.6,484.5,366.1,204.6
CbTb-ord-B2-p.wav,CbTb,ord,B2,p,47,297.9,3735.0,,822.7,312.2,344.5,215.3
CbTb-ord-C#0-mf.wav,CbTb,ord,C#0,mf,13,176.0,,,869.0,,3423.8,1098.2
CbTb-ord-C#0-pp.wav,CbTb,ord,C#0,pp,13,95.5,,,945.1,3617.6,3143.8,1141.3
CbTb-ord-C#1-f.wav,CbTb,ord,C#1,f,25,432.8,1461.8,,968.0,,344.5,215.3
CbTb-ord-C#1-ff.wav,CbTb,ord,C#1,ff,25,380.4,1644.8,,933.0,,323.0,258.4
CbTb-ord-C#1-mf.wav,CbTb,ord,C#1,mf,25,338.9,1202.7,,886.3,,323.0,236.9
CbTb-ord-C#1-p.wav,CbTb,ord,C#1,p,25,352.7,,,813.4,,344.5,226.1
CbTb-ord-C#1-pp.wav,CbTb,ord,C#1,pp,25,104.2,,,938.5,2508.6,2928.5,732.1
CbTb-ord-C#2-f.wav,CbTb,ord,C#2,f,37,344.8,1183.1,,895.7,3423.8,355.3,226.1
CbTb-ord-C#2-ff.wav,CbTb,ord,C#2,ff,37,358.9,1723.1,,950.5,,355.3,247.6
CbTb-ord-C#2-mf.wav,CbTb,ord,C#2,mf,37,372.9,1331.2,,912.7,430.7,344.5,258.4
CbTb-ord-C#2-p.wav,CbTb,ord,C#2,p,37,358.0,1390.4,,852.9,301.5,333.8,247.6
CbTb-ord-C#2-pp.wav,CbTb,ord,C#2,pp,37,92.8,,,897.1,3477.6,2401.0,376.8
CbTb-ord-C#3-f.wav,CbTb,ord,C#3,f,49,296.5,882.2,,923.8,570.6,376.8,215.3
CbTb-ord-C#3-ff.wav,CbTb,ord,C#3,ff,49,387.8,1357.3,,921.4,516.8,376.8,247.6
CbTb-ord-C#3-mf.wav,CbTb,ord,C#3,mf,49,299.4,1253.3,,901.6,592.2,376.8,226.1
CbTb-ord-C#3-p.wav,CbTb,ord,C#3,p,49,248.6,1205.5,,902.0,495.3,366.1,215.3
CbTb-ord-C#3-pp.wav,CbTb,ord,C#3,pp,49,222.9,,,840.6,,312.2,193.8
CbTb-ord-C#4-ff.wav,CbTb,ord,C#4,ff,61,966.1,2377.6,,1056.0,570.6,398.4,279.9
CbTb-ord-C#4-mf.wav,CbTb,ord,C#4,mf,61,291.3,,,965.5,,344.5,290.7
CbTb-ord-C#4-pp.wav,CbTb,ord,C#4,pp,61,297.2,,,907.5,3962.1,323.0,290.7
CbTb-ord-C#5-mf.wav,CbTb,ord,C#5,mf,73,599.1,1989.0,,732.1,495.3,559.9,581.4
CbTb-ord-C1-f.wav,CbTb,ord,C1,f,24,574.5,1800.4,,875.3,323.0,344.5,215.3
CbTb-ord-C1-mf.wav,CbTb,ord,C1,mf,24,359.2,981.8,,840.6,290.7,355.3,215.3
CbTb-ord-C1-p.wav,CbTb,ord,C1,p,24,334.3,1088.5,1839.1,850.8,,333.8,204.6
CbTb-ord-C2-f.wav,CbTb,ord,C2,f,36,351.6,1184.2,,927.4,398.4,344.5,236.9
CbTb-ord-C2-mf.wav,CbTb,ord,C2,mf,36,553.9,813.9,,861.6,592.2,387.6,226.1
CbTb-ord-C2-p.wav,CbTb,ord,C2,p,36,391.1,1037.3,,877.5,312.2,333.8,226.1
CbTb-ord-C3-f.wav,CbTb,ord,C3,f,48,356.3,,,827.4,549.1,387.6,215.3
CbTb-ord-C3-mf.wav,CbTb,ord,C3,mf,48,285.3,1262.5,,861.6,527.6,366.1,215.3
CbTb-ord-C3-p.wav,CbTb,ord,C3,p,48,371.0,3782.0,,806.7,495.3,366.1,215.3
CbTb-ord-D#1-f.wav,CbTb,ord,D#1,f,27,443.9,1156.4,,857.5,484.5,366.1,215.3
CbTb-ord-D#1-mf.wav,CbTb,ord,D#1,mf,27,380.0,1177.4,,878.4,150.7,355.3,236.9
CbTb-ord-D#1-p.wav,CbTb,ord,D#1,p,27,341.5,1048.4,,836.1,,323.0,204.6
CbTb-ord-D#2-f.wav,CbTb,ord,D#2,f,39,500.8,1251.7,,869.9,559.9,376.8,204.6
