filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Vcs+S-ord-A2-f.wav,Vcs+S,ord,A2,f,45,3630.3,,,1056.0,3003.9,323.0,215.3
Vcs+S-ord-A2-p.wav,Vcs+S,ord,A2,p,45,300.7,3502.4,,1067.8,3186.9,323.0,204.6
Vcs+S-ord-A3-f.wav,Vcs+S,ord,A3,f,57,923.7,3625.1,,1075.8,3230.0,355.3,204.6
Vcs+S-ord-A3-p.wav,Vcs+S,ord,A3,p,57,1157.8,,,1009.2,2627.1,344.5,204.6
Vcs+S-ord-A4-f.wav,Vcs+S,ord,A4,f,69,924.6,3537.3,,1214.8,3230.0,355.3,452.2
Vcs+S-ord-A4-p.wav,Vcs+S,ord,A4,p,69,977.1,3790.2,,1258.0,3391.5,355.3,193.8
Vcs+S-ord-B2-f.wav,Vcs+S,ord,B2,f,47,220.2,3359.3,,1008.4,3014.6,312.2,183.0
Vcs+S-ord-B2-p.wav,Vcs+S,ord,B2,p,47,241.7,3139.8,,1015.1,2293.3,344.5,193.8
Vcs+S-ord-B3-f.wav,Vcs+S,ord,B3,f,59,817.9,3508.5,,1124.2,3197.7,366.1,193.8
Vcs+S-ord-B3-p.wav,Vcs+S,ord,B3,p,59,693.2,3970.7,,1039.2,2691.7,355.3,193.8
Vcs+S-ord-B4-f.wav,Vcs+S,ord,B4,f,71,1397.2,3718.9,,1247.5,592.2,366.1,193.8
Vcs+S-ord-B4-p.wav,Vcs+S,ord,B4,p,71,952.9,3890.9,,1211.7,516.8,366.1,204.6
Vcs+S-ord-C#2-f.wav,Vcs+S,ord,C#2,f,37,1540.9,,,1044.7,2939.3,344.5,215.3
Vcs+S-ord-C#2-p.wav,Vcs+S,ord,C#2,p,37,492.6,3431.3,,1111.3,2810.1,333.8,204.6
Vcs+S-ord-C#3-f.wav,Vcs+S,ord,C#3,f,49,483.3,3213.6,,1086.2,3046.9,355.3,215.3
Vcs+S-ord-C#3-p.wav,Vcs+S,ord,C#3,p,49,401.7,3295.6,,1111.9,646.0,355.3,215.3
Vcs+S-ord-C#4-f.wav,Vcs+S,ord,C#4,f,61,688.0,3526.1,,1177.6,3219.2,355.3,247.6
Vcs+S-ord-C#4-p.wav,Vcs+S,ord,C#4,p,61,581.6,,,1097.9,656.8,366.1,226.1
Vcs+S-ord-C#5-f.wav,Vcs+S,ord,C#5,f,73,737.5,3760.4,,1298.4,570.6,419.9,3348.4
Vcs+S-ord-C#5-p.wav,Vcs+S,ord,C#5,p,73,1100.5,3438.8,,1276.6,301.5,409.1,226.1
Vcs+S-ord-D#2-f.wav,Vcs+S,ord,D#2,f,39,3694.3,,,1034.5,2982.3,344.5,193.8
Vcs+S-ord-D#2-p.wav,Vcs+S,ord,D#2,p,39,217.5,3053.0,,1030.0,2670.1,312.2,193.8
Vcs+S-ord-D#3-f.wav,Vcs+S,ord,D#3,f,51,3563.2,,,897.3,3337.6,312.2,183.0
Vcs+S-ord-D#3-p.wav,Vcs+S,ord,D#3,p,51,3048.1,,,1006.8,2820.8,323.0,193.8
Vcs+S-ord-D#4-f.wav,Vcs+S,ord,D#4,f,63,,,,952.7,3165.4,355.3,279.9
Vcs+S-ord-D#4-p.wav,Vcs+S,ord,D#4,p,63,350.5,3813.6,,918.4,,355.3,258.4
Vcs+S-ord-F2-f.wav,Vcs+S,ord,F2,f,41,3778.7,3949.2,,976.2,2993.1,333.8,204.6
Vcs+S-ord-F2-p.wav,Vcs+S,ord,F2,p,41,2737.3,,,1007.1,,323.0,204.6
Vcs+S-ord-F3-f.wav,Vcs+S,ord,F3,f,53,3705.7,,,1010.8,3079.2,312.2,193.8
Vcs+S-ord-F3-p.wav,Vcs+S,ord,F3,p,53,1201.6,,,1025.3,2594.8,344.5,215.3
Vcs+S-ord-F4-f.wav,Vcs+S,ord,F4,f,65,930.3,3595.7,,1054.0,3165.4,366.1,258.4
Vcs+S-ord-F4-p.wav,Vcs+S,ord,F4,p,65,1128.0,,,1062.5,312.2,355.3,226.1
Vcs+S-ord-G2-f.wav,Vcs+S,ord,G2,f,43,1322.3,3629.2,,1054.6,2993.1,3111.5,193.8
Vcs+S-ord-G2-p.wav,Vcs+S,ord,G2,p,43,1847.9,,,1113.6,3090.0,333.8,193.8
Vcs+S-ord-G3-f.wav,Vcs+S,ord,G3,f,55,296.7,3396.6,,1111.9,3143.8,355.3,204.6
Vcs+S-ord-G3-p.wav,Vcs+S,ord,G3,p,55,608.5,3188.7,,1076.3,678.3,366.1,215.3
Vcs+S-ord-G4-f.wav,Vcs+S,ord,G4,f,67,374.5,3565.6,,1050.2,527.6,366.1,409.1
Vcs+S-ord-G4-p.wav,Vcs+S,ord,G4,p,67,616.5,1419.2,,1201.9,2939.3,355.3,226.1
