instrument_A,register_A,instrument_B,register_B,F1_A_hz,F1_B_hz,delta_F1_hz,Fp_A_hz,Fp_B_hz,delta_Fp_hz,Homogeneity_H,zone
Oboe,grave,Trumpet_C,médium,312,322,10,1430,1306,124,0.929,autre
Horn,médium,Viola_Ensemble,médium,322,312,10,1006,1336,330,0.921,autre
Contrabass,suraigu,Trombone,pédale,236,226,10,1275,996,279,0.907,/u/
Bassoon,haut médium,Viola_Ensemble,aigu,376,366,10,1175,1292,117,0.896,/o/–/å/
Viola_Ensemble,aigu,Violin_Ensemble,suraigu,366,376,10,1292,1242,50,0.870,/o/–/å/
Bass_Tuba,aigu,Horn,grave,279,269,10,1016,961,55,0.833,autre
Trumpet_C,médium,Viola_Ensemble,médium,322,312,10,1306,1336,30,0.822,autre
Bassoon,haut médium,Viola,grave,376,366,10,1175,1305,130,0.811,/o/–/å/
Bassoon,haut médium,Viola,suraigu,376,366,10,1175,1095,80,0.811,/o/–/å/
Bass_Clarinet_Bb,médium,Contrabass_Ensemble,aigu,183,193,10,1270,1225,45,0.787,/u/
Bass_Clarinet_Bb,médium,Contrabass_Ensemble,suraigu,183,193,10,1270,1258,12,0.787,/u/
Bassoon,haut médium,Violin,médium,376,366,10,1175,1115,60,0.685,/o/–/å/
Horn,médium,Oboe,grave,322,312,10,1006,1430,424,0.640,autre
Bass_Clarinet_Bb,aigu,Horn,médium,333,322,11,1278,1006,272,0.989,autre
Clarinet_Bb,gorge,Viola_Ensemble,aigu,355,366,11,1391,1292,99,0.983,/o/–/å/
Trombone,grave,Violoncello,suraigu,215,204,11,1006,1270,264,0.974,/u/
Trumpet_C,grave,Violin_Ensemble,grave,495,484,11,1259,1295,36,0.953,/o/–/å/
Viola,grave,Violin_Ensemble,aigu,366,355,11,1305,1234,71,0.953,/o/–/å/
Viola,médium,Violin_Ensemble,médium,333,344,11,1317,1231,86,0.953,autre
Viola,suraigu,Violin_Ensemble,aigu,366,355,11,1095,1234,139,0.953,/o/–/å/
Trombone,grave,Violoncello_Ensemble,suraigu,215,204,11,1006,1247,241,0.948,/u/
Clarinet_Bb,chalumeau,Violoncello,suraigu,215,204,11,1315,1270,45,0.947,/u/
Violoncello,grave,Violoncello_Ensemble,suraigu,193,204,11,1149,1247,98,0.942,/u/
Violoncello,médium,Violoncello_Ensemble,suraigu,193,204,11,1199,1247,48,0.942,/u/
Violoncello,suraigu,Violoncello_Ensemble,grave,204,193,11,1270,1155,115,0.942,/u/
Violoncello,suraigu,Violoncello_Ensemble,médium,204,193,11,1270,1208,62,0.942,/u/
Violin,médium,Violin_Ensemble,aigu,366,355,11,1115,1234,119,0.934,/o/–/å/
Violin,aigu,Violin_Ensemble,médium,355,344,11,1228,1231,3,0.934,autre
Clarinet_Bb,chalumeau,Trombone,pédale,215,226,11,1315,996,319,0.925,/u/
Horn,médium,Viola_Ensemble,suraigu,322,333,11,1006,1136,130,0.921,autre
Trombone,médium,Viola_Ensemble,médium,301,312,11,1007,1336,329,0.920,autre
Bass_Tuba,médium,Contrabass_Ensemble,aigu,204,193,11,1000,1225,225,0.918,/u/
Bass_Tuba,médium,Contrabass_Ensemble,suraigu,204,193,11,1000,1258,258,0.918,/u/
Bassoon,aigu,Clarinet_Bb,clairon,570,581,11,1099,1426,327,0.917,autre
Bass_Clarinet_Bb,grave,Contrabass,grave,172,161,11,1257,1207,50,0.916,/u/
Bass_Clarinet_Bb,grave,Contrabass,médium,172,161,11,1257,1204,53,0.916,/u/
Bass_Clarinet_Bb,médium,Contrabass,aigu,183,172,11,1270,1253,17,0.916,/u/
Viola,grave,Viola_Ensemble,grave,366,355,11,1305,1304,1,0.916,/o/–/å/
Viola,suraigu,Viola_Ensemble,grave,366,355,11,1095,1304,209,0.916,/o/–/å/
Flute,grave,Violin_Ensemble,médium,333,344,11,1377,1231,146,0.913,autre
Flute,médium,Violin_Ensemble,grave,495,484,11,1436,1295,141,0.913,/o/–/å/
Trumpet_C,médium,Viola,médium,322,333,11,1306,1317,11,0.905,autre
Clarinet_Bb,gorge,Viola,grave,355,366,11,1391,1305,86,0.898,/o/–/å/
