instrument,register,n_samples,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12
Violoncello_Ensemble,suraigu,26,-1.9917,34.4302,-28.3774,13.3294,-13.4276,4.9323,-2.7986,-4.1193,3.1635,-7.1235,3.4411,-4.3708,1.3391
Flute,médium,111,-28.7942,27.5098,-22.5959,4.3737,-15.4119,1.6730,-4.3099,-4.7678,1.8605,-4.0372,5.0714,-1.3410,3.4213
Clarinet_Bb,gorge,24,-35.6385,29.5016,-15.5816,8.4845,-9.5730,2.5616,-3.1295,-3.4153,0.8240,-7.8425,-1.0716,-5.8712,-1.4797
Viola,grave,85,-21.4620,36.5271,-18.2640,10.0893,-7.6474,3.6401,-3.3749,-3.1220,2.0094,-5.5510,2.5379,-3.4031,0.5539
Viola,médium,243,-23.1973,34.1471,-20.2016,8.5189,-8.7063,3.3187,-4.1440,-4.4951,1.1359,-6.2114,1.5341,-4.2273,-0.1103
Violin_Ensemble,grave,24,-6.3779,39.2421,-25.0995,10.8230,-11.0446,0.9020,-5.0320,-4.8489,0.4396,-7.5863,2.1628,-4.9997,-0.6808
Clarinet_Bb,clarine,51,-34.0780,27.6256,-22.2107,4.5996,-10.5408,0.6439,-3.6677,-2.4992,2.4042,-3.7834,4.2951,-0.2166,3.6205
Bass_Clarinet_Bb,suraigu,49,-7.8564,30.9759,-33.6140,5.1697,-15.9030,3.0955,-3.3165,-3.4551,4.2266,-3.3951,7.1592,-2.0213,2.5818
Viola_Ensemble,aigu,54,-5.4036,32.5388,-30.1498,10.8180,-13.2772,3.4642,-4.9892,-5.3118,1.7677,-7.1941,4.0143,-4.0697,1.7550
Violin_Ensemble,médium,54,-6.4703,36.2338,-28.3682,9.4290,-12.6200,0.7351,-5.5882,-5.5471,0.2563,-8.3061,1.6433,-5.5368,-0.9927
Violoncello,suraigu,127,-14.7570,29.5781,-25.3526,12.1967,-11.9003,5.8548,-2.0025,-3.5499,3.0909,-5.3016,4.4258,-4.0409,1.5521
Trumpet_C,grave,25,-20.3956,34.1780,-21.4329,8.5740,-11.5882,1.7501,-2.6393,-3.2563,1.6418,-5.7563,2.2383,-4.1357,-0.2060
Violin,grave,57,-18.6068,33.3550,-22.9307,11.6785,-8.9539,0.9897,-3.7546,-3.8029,1.0344,-5.6514,3.1291,-3.4072,-0.3932
Oboe,grave,30,-14.9496,37.5852,-24.7769,4.9560,-12.2287,1.2042,-2.3743,-2.1782,0.7065,-6.9664,2.0833,-3.7136,0.8322
Trumpet_C,médium,42,-21.1112,32.0040,-24.6785,6.0010,-13.5690,0.0010,-4.0635,-4.6116,0.4541,-6.6986,1.4600,-4.6134,-0.4970
Violin,médium,231,-18.2616,31.0778,-25.1664,11.4036,-9.8083,1.4161,-3.7098,-4.2550,1.2878,-5.7254,2.9668,-3.4817,-0.0746
Viola,aigu,246,-23.7116,28.0389,-25.0109,9.2421,-9.5869,3.3303,-4.4575,-4.5176,2.0470,-5.5163,3.0604,-3.1954,1.6878
Viola_Ensemble,suraigu,27,-7.0107,27.4724,-32.5829,12.3661,-13.5893,3.9691,-4.0303,-3.2533,4.8076,-4.7823,5.7513,-4.9801,-1.1681
Trumpet_C,aigu,27,-19.6241,27.7065,-29.9738,5.2980,-14.8983,0.3510,-3.7022,-4.2562,1.0400,-6.5241,2.3567,-3.9869,1.2724
Oboe,médium,36,-20.5681,28.9706,-30.2357,3.2253,-13.0783,2.0354,-1.8697,-1.3392,2.5948,-4.6598,5.3504,-0.6877,4.3911
Flute,aigu,111,-27.3131,20.3582,-28.2107,7.1746,-14.7947,5.1616,0.1074,0.7992,5.5665,-5.0811,3.1585,-4.9139,1.7199
Oboe,aigu,21,-26.3126,23.3020,-32.1426,4.8832,-10.2748,3.5255,0.8633,1.8725,6.6410,1.1876,8.0506,-3.0294,-1.1093
Violin_Ensemble,aigu,54,-6.2583,27.5095,-34.0081,11.5078,-14.2478,2.2992,-5.5835,-5.0436,2.6382,-6.8047,4.7100,-4.1602,0.5485
Trumpet_C,suraigu,75,-18.7331,21.1440,-34.8934,7.5978,-14.9669,2.1716,-2.5707,-2.3885,4.7818,-3.2685,6.4865,-1.8923,2.0964
Viola,suraigu,175,-25.0015,23.3809,-26.1493,11.9903,-10.3126,3.6153,-2.8686,-2.1897,4.0391,-5.1041,3.3021,-4.3867,0.1226
Violin,aigu,250,-18.3946,25.1594,-28.5536,13.4251,-10.2352,2.9234,-3.5226,-3.7024,3.2262,-4.4728,5.3874,-2.1347,1.4101
Flute,suraigu,27,-23.3436,17.9428,-30.7908,10.3892,-12.9005,9.1892,1.4049,-2.5558,-0.1850,-7.0055,8.0872,-1.1446,1.4579
Clarinet_Bb,suraigu,37,-35.4328,18.1225,-29.6249,7.2892,-7.1099,6.6765,2.3693,2.3560,5.1212,-4.7605,2.4823,-3.3733,0.9598
Violin_Ensemble,suraigu,55,-8.8309,22.3324,-33.8637,14.5904,-15.1016,4.1811,-2.9961,-3.4266,2.8914,-8.9955,2.8300,-5.6973,0.5897
Oboe,suraigu,20,-26.4838,17.6377,-34.3244,10.5054,-7.8740,4.8336,2.9680,5.0066,5.7774,-5.3480,2.5704,-4.6927,4.5225
Violin,suraigu,141,-19.8451,21.3169,-28.5279,16.0792,-10.6566,4.6355,-1.4602,-2.4047,3.8398,-5.8920,3.2890,-4.4874,1.4935
